,Country,Death,Confirmed,Recovered,Date,DeathAccumulated,ConfirmedAccumulated,RecoveredAccumulated,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,LOCATION,Year,Total population,Acute_myocardial_infarction,Asthma,Chronic_obstructive_Pulmonary_diseases,Diabetes_mellitus,Diseases_of_the_respiratory_system,Influenza,Ischaemic_heart_diseases,Pneumonia,Population__65_years_old_and_over,Population__80_years_old_and_over,Air_pollution,Rooms_per_person,Number of people per household,Single person households,Population__65_to_80_years_old,retail_and_recreation_percent_change_from_baseline_Lag_23,grocery_and_pharmacy_percent_change_from_baseline_Lag_23,parks_percent_change_from_baseline_Lag_23,transit_stations_percent_change_from_baseline_Lag_23,workplaces_percent_change_from_baseline_Lag_23,residential_percent_change_from_baseline_Lag_23,Confirmed_Lag_14,TimeSince1stDeath,DeathNotNormalized,ConfirmedNotNormalized,RecoveredNotNormalized
20,Denmark,0.3169936044779221,5.14234069486407,0.8805377902164503,2020-04-05,179,4561,1429,-19.166666666666668,-10.5,121.0,-46.5,-22.166666666666668,6.5,DNK,2015,5678348,26.17,1.2329999999999999,60.333999999999996,23.81,102.935,0.37,66.551,30.730999999999998,18.5,4.2,9.0,1.9,2.0,37.484,14.3,-26.333333333333332,-7.333333333333333,6.5,-48.0,-42.833333333333336,15.833333333333334,94.0,20.0,18.0,292.0,50.0
21,Denmark,0.14088604643463204,5.529777322559308,1.0566453482597404,2020-04-06,187,4875,1489,-11.666666666666666,-4.333333333333333,174.83333333333334,-49.666666666666664,-58.0,15.666666666666666,DNK,2015,5678348,26.17,1.2329999999999999,60.333999999999996,23.81,102.935,0.37,66.551,30.730999999999998,18.5,4.2,9.0,1.9,2.0,37.484,14.3,-30.166666666666668,-8.166666666666666,90.0,-35.166666666666664,-15.5,7.5,58.0,21.0,8.0,314.0,60.0
22,Denmark,0.2817720928692641,6.885805519492641,2.3246197661714287,2020-04-07,203,5266,1621,-9.666666666666666,4.833333333333333,176.83333333333334,-48.333333333333336,-58.333333333333336,15.666666666666666,DNK,2015,5678348,26.17,1.2329999999999999,60.333999999999996,23.81,102.935,0.37,66.551,30.730999999999998,18.5,4.2,9.0,1.9,2.0,37.484,14.3,-32.5,-23.0,-8.666666666666666,-50.0,-22.333333333333332,8.0,146.0,22.0,16.0,391.0,132.0
23,Denmark,0.2641613370649351,5.829160171232901,2.5007273242147185,2020-04-08,218,5597,1763,-4.0,12.166666666666666,138.66666666666666,-48.166666666666664,-58.833333333333336,14.5,DNK,2015,5678348,26.17,1.2329999999999999,60.333999999999996,23.81,102.935,0.37,66.551,30.730999999999998,18.5,4.2,9.0,1.9,2.0,37.484,14.3,-22.833333333333332,-13.166666666666666,56.166666666666664,-51.0,-49.333333333333336,16.5,144.0,23.0,15.0,331.0,142.0
24,Denmark,0.3346043602822511,4.103306102408658,2.113290696519481,2020-04-09,237,5830,1883,-37.5,-15.0,197.5,-60.5,-81.66666666666667,21.833333333333332,DNK,2015,5678348,26.17,1.2329999999999999,60.333999999999996,23.81,102.935,0.37,66.551,30.730999999999998,18.5,4.2,9.0,1.9,2.0,37.484,14.3,-24.166666666666668,-4.0,39.833333333333336,-53.833333333333336,-51.0,17.5,161.0,24.0,19.0,233.0,120.0
25,Denmark,0.17610755804329006,3.240379067996537,0.8100947669991343,2020-04-10,247,6014,1929,-58.333333333333336,-35.5,191.66666666666666,-64.16666666666667,-82.0,23.5,DNK,2015,5678348,26.17,1.2329999999999999,60.333999999999996,23.81,102.935,0.37,66.551,30.730999999999998,18.5,4.2,9.0,1.9,2.0,37.484,14.3,-39.5,-20.0,14.5,-59.666666666666664,-53.333333333333336,19.833333333333332,177.0,25.0,10.0,184.0,46.0
26,Denmark,0.22893982545627706,3.1171037773662342,3.205157556387879,2020-04-11,260,6191,2111,-28.166666666666668,4.833333333333333,57.333333333333336,-49.833333333333336,-22.166666666666668,8.333333333333334,DNK,2015,5678348,26.17,1.2329999999999999,60.333999999999996,23.81,102.935,0.37,66.551,30.730999999999998,18.5,4.2,9.0,1.9,2.0,37.484,14.3,-37.833333333333336,-19.666666666666668,100.0,-56.5,-54.166666666666664,19.166666666666668,166.0,26.0,13.0,177.0,182.0
27,Denmark,0.22893982545627706,3.134714533170563,3.1699360447792206,2020-04-12,273,6369,2291,-34.166666666666664,-18.833333333333332,125.0,-45.166666666666664,-22.666666666666668,5.666666666666667,DNK,2015,5678348,26.17,1.2329999999999999,60.333999999999996,23.81,102.935,0.37,66.551,30.730999999999998,18.5,4.2,9.0,1.9,2.0,37.484,14.3,-42.0,-22.166666666666668,71.16666666666667,-61.5,-54.666666666666664,20.333333333333332,198.0,27.0,13.0,178.0,180.0
28,Denmark,0.21132906965194806,2.5359488358233766,1.9724046500848487,2020-04-13,285,6513,2403,-54.0,-29.166666666666668,122.33333333333333,-63.5,-83.33333333333333,23.666666666666668,DNK,2015,5678348,26.17,1.2329999999999999,60.333999999999996,23.81,102.935,0.37,66.551,30.730999999999998,18.5,4.2,9.0,1.9,2.0,37.484,14.3,-46.0,-20.0,95.66666666666667,-52.166666666666664,-26.5,10.833333333333334,191.0,28.0,12.0,144.0,112.0
29,Denmark,0.24655058126060608,3.398875870235498,5.036676160038096,2020-04-14,299,6706,2689,-12.333333333333334,4.166666666666667,69.66666666666667,-50.5,-48.166666666666664,15.5,DNK,2015,5678348,26.17,1.2329999999999999,60.333999999999996,23.81,102.935,0.37,66.551,30.730999999999998,18.5,4.2,9.0,1.9,2.0,37.484,14.3,-36.333333333333336,-24.166666666666668,52.833333333333336,-57.5,-27.666666666666668,8.833333333333334,284.0,29.0,14.0,193.0,286.0
30,Denmark,0.17610755804329006,2.993828486735931,4.156138369821646,2020-04-15,309,6876,2925,-20.5,-4.333333333333333,58.0,-48.666666666666664,-47.0,16.166666666666668,DNK,2015,5678348,26.17,1.2329999999999999,60.333999999999996,23.81,102.935,0.37,66.551,30.730999999999998,18.5,4.2,9.0,1.9,2.0,37.484,14.3,-33.833333333333336,-19.666666666666668,61.333333333333336,-58.833333333333336,-54.0,18.333333333333332,251.0,30.0,10.0,170.0,236.0
31,Denmark,0.21132906965194806,3.4869296492571427,4.895790113603463,2020-04-16,321,7074,3203,-21.0,-3.8333333333333335,93.33333333333333,-46.833333333333336,-45.666666666666664,15.666666666666666,DNK,2015,5678348,26.17,1.2329999999999999,60.333999999999996,23.81,102.935,0.37,66.551,30.730999999999998,18.5,4.2,9.0,1.9,2.0,37.484,14.3,-35.0,-18.0,64.83333333333333,-58.5,-54.333333333333336,18.5,283.0,31.0,12.0,198.0,278.0
32,Denmark,0.2641613370649351,3.4164866260398274,6.480758135993074,2020-04-17,336,7268,3571,-24.333333333333332,-6.0,135.33333333333334,-47.5,-44.166666666666664,14.333333333333334,DNK,2015,5678348,26.17,1.2329999999999999,60.333999999999996,23.81,102.935,0.37,66.551,30.730999999999998,18.5,4.2,9.0,1.9,2.0,37.484,14.3,-34.666666666666664,-17.666666666666668,69.83333333333333,-57.833333333333336,-53.666666666666664,18.833333333333332,373.0,32.0,15.0,194.0,368.0
33,Denmark,0.17610755804329006,2.976217730931602,8.100947669991342,2020-04-18,346,7437,4031,-29.5,-3.8333333333333335,136.0,-38.333333333333336,-13.0,6.833333333333333,DNK,2015,5678348,26.17,1.2329999999999999,60.333999999999996,23.81,102.935,0.37,66.551,30.730999999999998,18.5,4.2,9.0,1.9,2.0,37.484,14.3,-34.333333333333336,-16.166666666666668,92.33333333333333,-57.333333333333336,-53.666666666666664,18.833333333333332,323.0,33.0,10.0,169.0,460.0
